district,chronic_diseases_count,disability_characteristics_count,child_youth_welfare_count,disability_welfare_count,women_welfare_count,elderly_welfare_count,homeless_welfare_count,other_welfare_count,housing_issues_count,health_issues_count,education_issues_count,employment_income_issues_count,family_issues_count,violence_issues_count,human_trafficking_issues_count,social_justice_access_issues_count,other_social_issues_count
กงหรา,55,86,456,58,32,158,187,163,111,20,10,366,807,0,0,10,0
กงไกรลาศ,2016,243,2534,229,42,1395,51,1791,392,656,108,2864,1190,2,0,6,10
กบินทร์บุรี,147,45,129,42,38,296,5,549,114,26,3,345,32,0,0,28,7
กมลาไสย,56,48,273,54,49,257,6,400,140,46,136,1295,612,0,0,26,4
กรงปินัง,48,93,61,90,12,116,21,318,186,25,134,807,187,0,0,0,0
กระทุ่มแบน,32,24,155,17,101,170,140,79,194,27,44,287,122,0,0,17,0
กระบุรี,217,161,515,183,7,390,48,163,132,34,9,1153,287,0,0,207,0
กระสัง,0,0,0,0,0,0,0,0,48,0,0,260,276,0,0,0,0
กระแสสินธุ์,222,168,135,173,52,277,3,343,153,100,25,718,401,0,0,22,0
กะทู้,35,15,17,5,0,31,0,37,8,12,7,67,35,0,0,1,0
กะปง,163,137,83,120,8,248,2,91,106,63,21,1038,129,1,0,95,1
กะพ้อ,9,10,926,7,50,33,39,97,298,9,66,670,799,1,0,0,0
กะเปอร์,140,114,208,173,2,368,11,97,146,38,1,720,242,0,0,263,0
กันตัง,46,202,613,169,20,722,50,1230,255,39,112,2633,1864,0,1,130,0
กันทรลักษ์,0,0,2,0,0,0,0,1,6,0,0,7,159,0,0,1,0
กันทรวิชัย,3,14,143,0,17,15,35,66,43,1,18,1237,511,0,0,0,0
กันทรารมย์,0,2,5,2,0,2,0,3,0,0,0,3,66,0,0,0,0
กัลยาณิวัฒนา,8,11,286,7,2,21,1,107,156,19,133,834,414,1,0,18,1
กาญจนดิษฐ์,34,185,432,166,44,1385,10,1301,209,30,146,3376,675,0,0,29,0
กาบัง,29,28,57,20,7,88,7,132,491,16,160,977,1228,0,0,0,0
กาบเชิง,0,0,0,0,0,0,0,0,69,70,12,669,633,0,0,8,0
กำแพงแสน,3,1,214,2,0,2,1,1,16,0,1,340,84,0,0,0,0
กุฉินารายณ์,140,103,1190,84,23,224,26,865,256,110,165,3832,1147,3,0,9,4
กุดข้าวปุ้น,14,20,93,10,1,17,3,10,42,28,252,719,153,0,0,151,0
กุดชุม,66,9,3,12,1,97,2,91,1,30,1,165,145,0,0,0,2
กุดบาก,12,22,1145,13,4,28,110,366,311,31,83,871,984,0,0,58,4
กุดรัง,52,25,337,9,48,121,80,923,166,30,282,1449,1570,0,0,0,0
กุยบุรี,102,36,184,31,0,109,0,42,75,62,14,145,80,0,0,1,0
กุสุมาลย์,14,21,628,14,7,98,35,356,121,31,144,396,1069,0,0,11,37
ขนอม,4,7,1106,3,22,52,21,84,14,14,1,695,111,0,0,4,1
ขลุง,19,1,5,11,3,34,1,28,2,10,1,189,123,0,0,0,0
ขาณุวรลักษบุรี,227,124,413,145,15,324,35,349,213,177,58,2024,1105,0,0,181,0
ขุขันธ์,3,2,6,2,6,8,5,9,8,0,0,14,91,0,0,7,0
ขุนตาล,37,40,116,35,13,72,0,137,39,38,12,548,194,0,0,1,2
ขุนยวม,113,48,208,56,23,215,28,852,151,64,26,545,926,0,0,14,69
ขุนหาญ,0,1,3,1,0,0,0,0,1,0,0,1,48,0,0,0,0
คง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
คลองขลุง,76,26,56,45,15,70,33,57,87,42,48,798,588,0,0,128,2
คลองท่อม,229,92,1031,80,135,298,198,640,651,124,261,2819,1618,1,0,31,0
คลองลาน,39,31,216,36,35,49,0,60,198,43,57,564,981,0,2,145,4
คลองสาน,4,1,0,1,0,2,1,1,1,0,0,3,2,0,0,0,0
คลองสามวา,14,2,1,2,0,13,2,2,3,2,2,20,13,0,0,0,0
คลองหลวง,655,494,560,199,10,464,38,941,638,399,91,1929,1183,12,1,289,4
คลองหอยโข่ง,62,58,207,68,102,127,12,136,13,24,16,437,149,0,0,55,0
คลองหาด,137,63,53,94,13,376,17,326,50,58,6,615,174,0,0,21,0
คลองเขื่อน,14,3,13,8,3,17,0,4,15,26,3,141,299,0,0,3,1
คลองเตย,58,1,7,3,3,14,39,24,36,20,4,127,70,6,9,10,26
คลองใหญ่,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ควนกาหลง,129,65,886,53,43,131,2,262,340,67,77,792,457,0,0,79,5
ควนขนุน,141,168,3274,184,5,408,408,339,331,77,17,2762,818,0,0,1,0
ควนเนียง,317,70,301,97,50,366,30,370,242,132,35,1191,309,1,0,108,0
ควนโดน,395,161,349,127,14,324,64,331,425,160,424,2120,1044,0,0,7,0
คอนสวรรค์,407,162,479,153,43,629,213,937,253,252,105,1480,311,0,0,3,7
คอนสาร,167,87,684,85,42,366,104,715,368,205,71,1140,415,0,0,2,11
คันนายาว,1,0,7,0,1,0,1,1,11,0,0,8,2,0,0,0,0
คำชะอี,178,119,1907,131,91,752,284,1677,114,72,112,2525,1209,2,2,1,2
คำตากล้า,19,45,304,27,8,62,8,333,91,25,86,304,665,0,0,11,3
คำม่วง,32,35,52,25,2,58,20,121,39,19,28,605,303,1,0,3,1
คำเขื่อนแก้ว,98,17,1,19,0,108,3,159,15,40,0,251,235,0,0,0,0
คีรีมาศ,695,364,2074,324,36,805,32,825,384,178,170,2610,1575,0,0,5,6
คีรีรัฐนิคม,745,46,283,22,26,340,0,1405,7,156,5,1514,47,0,0,28,2
คุระบุรี,112,64,114,66,5,99,7,218,140,63,54,892,169,0,0,4,0
คูเมือง,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
ค่ายบางระจัน,333,39,226,32,2,252,15,190,130,62,4,733,659,0,0,0,0
ค้อวัง,52,13,101,16,0,112,3,73,6,37,1,132,300,0,0,0,0
ฆ้องชัย,102,53,110,43,23,181,6,91,143,54,32,673,386,0,1,33,1
งาว,522,175,363,130,2,514,40,590,166,151,32,1194,882,0,0,28,1
จตุจักร,27,2,3,2,0,10,19,19,19,12,0,34,23,0,0,0,0
จตุรพักตรพิมาน,40,83,1020,71,82,434,23,920,87,76,13,1611,1444,0,0,40,464
จอมทอง,145,110,777,88,14,241,47,551,348,121,193,2378,2311,3,0,38,20
จอมพระ,0,80,0,1,0,0,0,0,13,13,0,245,369,0,0,136,0
จะนะ,285,88,1026,100,580,497,175,955,365,22,12,1703,1221,1,0,281,0
จะแนะ,0,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0
จักราช,1,2,0,2,0,3,0,2,2,1,0,2,6,0,0,0,0
จังหาร,55,19,644,22,30,106,28,616,59,121,15,1130,182,0,1,31,0
จัตุรัส,126,126,698,61,86,364,30,454,103,83,6,1116,320,0,0,127,2
จุน,249,126,189,128,21,336,43,371,125,142,91,1349,768,0,0,54,0
จุฬาภรณ์,17,11,641,11,17,82,28,61,14,8,0,1262,119,0,0,1,4
ฉวาง,118,58,894,47,126,237,145,466,76,29,9,2022,485,0,0,6,3
ชนแดน,104,186,132,343,23,322,6,351,322,76,72,1693,874,4,0,43,8
ชะอวด,2,11,1633,12,747,610,599,106,8,3,2,1963,188,0,0,3,18
ชะอำ,3,1,117,1,50,52,6,139,3,23,72,340,116,0,0,0,0
ชัยบาดาล,179,87,470,100,39,268,26,295,225,46,233,1332,746,0,0,36,6
ชัยบุรี,57,31,289,27,0,271,0,525,6,30,4,784,30,1,0,0,0
ชาติตระการ,219,251,121,206,10,448,50,1316,124,229,192,1706,1132,0,0,16,268
ชานุมาน,26,15,43,13,2,30,9,16,165,30,53,888,255,0,0,121,2
ชำนิ,0,0,0,0,0,0,0,0,1,2,0,472,765,0,0,0,0
ชื่นชม,8,8,47,4,1,32,10,19,95,4,10,538,273,1,0,1,0
ชุมตาบง,83,4,222,2,27,55,7,147,19,68,33,640,72,0,0,0,0
ชุมพลบุรี,0,0,0,0,0,0,0,0,89,90,10,425,213,0,0,0,0
ชุมแสง,113,51,229,52,30,641,1,1162,21,122,3,980,70,0,0,2,0
ช้างกลาง,71,27,199,27,221,238,37,287,22,14,0,972,79,0,0,1,1
ซับใหญ่,109,31,178,24,13,94,89,311,63,37,2,434,171,0,0,0,1
ดงหลวง,100,101,2301,99,382,307,742,1385,83,76,321,2852,1905,1,0,2,2
ดงเจริญ,93,32,301,33,48,213,12,253,302,16,107,597,420,0,0,74,0
ดอกคำใต้,368,197,809,188,37,547,7,1080,122,101,86,751,830,0,0,31,11
ดอนจาน,44,53,143,46,9,117,10,146,91,39,62,832,542,2,0,43,5
ดอนตาล,57,80,1847,123,302,369,499,1329,175,47,80,2500,1516,0,0,0,0
ดอนตูม,1,17,69,18,0,49,0,12,44,5,36,162,90,0,0,0,0
ดอนพุด,56,19,161,18,2,51,1,68,81,26,5,181,107,0,0,0,0
ดอนมดแดง,42,20,50,17,7,29,3,12,21,6,38,531,387,0,0,183,0
ดอนสัก,22,26,79,12,2,219,0,75,10,9,138,946,93,0,0,7,0
ดอนเมือง,9,4,8,2,0,8,3,14,15,2,2,19,38,0,0,0,0
ดอยสะเก็ด,29,26,548,26,17,68,52,213,212,56,100,1523,901,0,0,16,4
ดอยหลวง,73,39,93,36,13,82,1,184,154,52,48,778,541,0,0,2,1
ดอยหล่อ,53,28,207,25,6,97,7,127,210,31,51,699,460,0,0,5,81
ดอยเต่า,253,120,259,73,35,277,108,198,263,261,27,2308,1049,0,0,235,4
ดินแดง,32,0,10,1,0,12,15,11,8,6,0,65,57,0,0,0,0
ดุสิต,9,2,2,3,0,5,4,7,8,5,0,21,9,0,0,0,1
ด่านซ้าย,52,35,42,27,8,137,21,290,32,43,14,514,146,0,0,79,1
ตรอน,359,67,257,65,7,250,2,98,147,70,38,873,162,0,0,84,0
ตระการพืชผล,5,19,373,9,2,21,3,23,27,20,344,1718,580,0,0,9,0
ตลิ่งชัน,33,1,2,1,0,12,15,17,5,0,2,27,15,0,0,0,12
ตะกั่วทุ่ง,329,112,776,106,208,633,348,650,434,194,134,2145,442,0,0,19,0
ตะกั่วป่า,322,123,285,111,17,316,33,233,220,115,43,1634,317,0,0,9,0
ตะพานหิน,180,113,273,183,43,596,5,454,505,96,84,1178,590,0,0,30,12
ตะโหมด,6,40,167,40,0,21,13,34,77,12,14,157,147,0,0,0,0
ตากฟ้า,400,53,99,37,0,290,7,524,273,224,45,1073,324,0,0,70,65
ตากใบ,4,10,1,9,0,18,1,5,6,3,0,49,0,0,0,0,0
ตาคลี,2,44,27,40,6,46,1,550,2,3,0,1118,2,0,0,0,0
ตาพระยา,290,18,145,18,163,337,168,337,8,10,0,279,386,0,0,17,0
ตาลสุม,6,8,109,16,1,47,0,60,13,21,29,236,360,0,0,185,0
ถลาง,1546,283,1947,221,183,1259,126,1922,472,340,361,6306,1772,0,0,117,1
ถ้ำพรรณรา,25,22,540,23,13,72,16,166,8,8,3,653,171,0,0,0,15
ทต.นิคมสร้างตนเองลำโดมน้อย,1,4,33,1,0,9,0,11,13,2,6,68,31,0,0,12,1
ทรายทองวัฒนา,24,23,76,25,0,210,0,101,34,56,32,1197,495,0,0,77,0
ทรายมูล,4,2,3,4,0,9,2,9,0,2,0,17,18,0,0,0,0
ทวีวัฒนา,4,0,0,0,0,0,2,2,1,0,0,5,1,0,0,0,0
ทองแสนขัน,361,115,205,85,12,316,25,274,122,122,40,1219,603,0,0,186,0
ทับคล้อ,251,90,460,94,72,752,18,929,493,64,196,1377,673,0,0,5,0
ทับปุด,118,178,159,157,12,263,15,169,204,57,52,1103,298,1,0,116,0
ทับสะแก,64,44,141,38,16,144,13,174,163,220,31,1022,267,0,0,78,1
ทัพทัน,336,76,285,89,25,228,4,252,118,156,60,436,304,1,0,0,0
ทุ่งครุ,7,0,0,0,0,1,6,2,8,1,0,14,4,0,0,0,6
ทุ่งช้าง,88,74,111,62,3,118,2,128,73,86,70,634,499,1,0,2,16
