province,road_density,area_sqkm,total_population,total_issues,road_type,distance
กระบี่,1.108135485241028,4709,482121,40025,Gravel Road,2689.2
กรุงเทพมหานคร,2.4125009560229445,1569,5471588,3349,Gravel Road,
กาฬสินธุ์,1.845229595508853,6947,968065,38734,Gravel Road,8203.99
กำแพงเพชร,1.1315859184384802,8607,704948,26251,Gravel Road,5754.35
ชัยนาท,2.2174939271255063,2470,316220,11764,Gravel Road,3441.87
ชัยภูมิ,1.0795930505556426,12778,1113378,20818,Gravel Road,8248.34
ชุมพร,1.38963554667998,6009,508857,32510,Gravel Road,4889.04
ตรัง,1.2502684017893453,4918,637017,33967,Gravel Road,1853.25
ตาก,0.3755214237825318,16407,691714,39273,Gravel Road,3283.49
นครนายก,1.2678982092365694,2122,260117,21301,Gravel Road,856.31
นครปฐม,2.2794972324723246,2168,924521,1465,Gravel Road,1223.19
นครพนม,1.8626809359695264,5513,714284,20605,Gravel Road,6546.75
นครศรีธรรมราช,1.5289248717690838,9943,1540953,24997,Gravel Road,6487.5
นครสวรรค์,1.4721994165451135,9598,1021883,13761,Gravel Road,8203.53
นนทบุรี,2.800032154340836,622,1308092,21896,Gravel Road,102.38
นราธิวาส,1.0201787709497208,4475,819162,3438,Gravel Road,1381.22
น่าน,0.4689731520223152,11472,472722,23795,Gravel Road,2541.27
บึงกาฬ,1.3256734788666975,4306,420487,13185,Gravel Road,3455.02
ปทุมธานี,2.2693119266055044,1526,1219199,27522,Gravel Road,828.5
ประจวบคีรีขันธ์,0.9919409547738692,6368,550977,4604,Gravel Road,2412.35
ปัตตานี,1.986819587628866,1940,737077,43083,Gravel Road,1082.88
พระนครศรีอยุธยา,1.8200351974970668,2557,822106,15912,Gravel Road,1047.13
พะเยา,0.7477671125098349,6355,458287,21704,Gravel Road,2166.93
พังงา,0.6049892112203308,4171,267057,13645,Gravel Road,762.04
พัทลุง,1.7953066588785047,3424,520598,12454,Gravel Road,2970.49
พิจิตร,1.8008474950342088,4531,521907,25297,Gravel Road,4439.71
พิษณุโลก,0.947922522189349,10816,841729,22143,Gravel Road,5229.96
ภูเก็ต,1.64097605893186,543,423599,13158,Gravel Road,40.12
มหาสารคาม,1.8313303099017384,5292,937915,14883,Gravel Road,4754.82
มุกดาหาร,1.1798594470046084,4340,351595,19608,Gravel Road,3241.63
ยะลา,0.7815925680159257,4521,549946,18177,Gravel Road,1099.64
ระนอง,0.5200303214069133,3298,193371,7539,Gravel Road,774.81
ร้อยเอ็ด,2.010080732618388,8299,1284836,25325,Gravel Road,9465.25
ลพบุรี,1.197158064516129,6200,729697,27204,Gravel Road,3726.18
ลำปาง,0.5582216371469603,12534,711478,33136,Gravel Road,2463.12
ลำพูน,0.9441167332445628,4506,398440,49385,Gravel Road,1581.29
สกลนคร,1.5581969602331878,9606,1142657,47864,Gravel Road,9597.86
สงขลา,1.4116567487151743,7394,1431959,40996,Gravel Road,3618.52
สตูล,0.9306857603872528,2479,325470,26250,Gravel Road,669.37
สมุทรปราการ,1.5714641434262948,1004,1372970,14783,Gravel Road,40.88
สมุทรสงคราม,2.048177458033573,417,187993,894,Gravel Road,129.57
สมุทรสาคร,1.891594036697248,872,592033,3041,Gravel Road,198.99
สระบุรี,1.2957074944071587,3576,638826,30348,Gravel Road,968.56
สิงห์บุรี,2.498917274939173,822,201439,6105,Gravel Road,588.16
สุราษฎร์ธานี,0.9226638740206344,12891,1075788,49491,Gravel Road,5600.28
สุโขทัย,1.2989296543359612,6596,577866,36805,Gravel Road,4786.68
หนองคาย,1.322504129501156,3027,514021,18863,Gravel Road,2007.66
อำนาจเจริญ,1.359534957291996,3161,374137,5893,Gravel Road,2566.33
อุตรดิตถ์,0.7573657354254368,7839,439629,19594,Gravel Road,2905.55
อุทัยธานี,0.7071500742942051,6730,322273,23270,Gravel Road,2356.36
อุบลราชธานี,1.4656068593204192,15745,1869608,39096,Gravel Road,14607.97
อ่างทอง,2.7260537190082648,968,270726,24223,Gravel Road,668.82
เชียงราย,0.921460010275732,11678,1298977,57926,Gravel Road,4142.43
เชียงใหม่,0.7145894464614313,20107,1797075,80054,Gravel Road,5137.09
เพชรบุรี,0.6520112449799197,6225,483668,2128,Gravel Road,1211.29
เพชรบูรณ์,0.8069158509630565,12668,967421,45589,Gravel Road,5539.25
เลย,0.8212323851203501,11425,635142,15291,Gravel Road,5666.22
แพร่,0.6625462608961615,6539,426331,18532,Gravel Road,1820.7
แม่ฮ่องสอน,0.3453757590095418,12681,287644,17602,Gravel Road,2785.57
กระบี่,1.108135485241028,4709,482121,40025,Asphalt Road,1553.03
กรุงเทพมหานคร,2.4125009560229445,1569,5471588,3349,Asphalt Road,
กาฬสินธุ์,1.845229595508853,6947,968065,38734,Asphalt Road,1545.75
กำแพงเพชร,1.1315859184384802,8607,704948,26251,Asphalt Road,2075.23
ชัยนาท,2.2174939271255063,2470,316220,11764,Asphalt Road,769.1
ชัยภูมิ,1.0795930505556426,12778,1113378,20818,Asphalt Road,1975.68
ชุมพร,1.38963554667998,6009,508857,32510,Asphalt Road,1474.5
ตรัง,1.2502684017893453,4918,637017,33967,Asphalt Road,2741.02
ตาก,0.3755214237825318,16407,691714,39273,Asphalt Road,894.44
นครนายก,1.2678982092365694,2122,260117,21301,Asphalt Road,1176.85
นครปฐม,2.2794972324723246,2168,924521,1465,Asphalt Road,2547.65
นครพนม,1.8626809359695264,5513,714284,20605,Asphalt Road,762.03
นครศรีธรรมราช,1.5289248717690838,9943,1540953,24997,Asphalt Road,3706.19
