province,doctor_density,chronic_diseases_count,disability_characteristics_count,child_youth_welfare_count,disability_welfare_count,women_welfare_count,elderly_welfare_count,homeless_welfare_count,other_welfare_count,housing_issues_count,health_issues_count,education_issues_count,employment_income_issues_count,family_issues_count,violence_issues_count,human_trafficking_issues_count,social_justice_access_issues_count,other_social_issues_count,male_population,female_population,total_population,Number of road,Gravel Road,Asphalt Road,Concrete Road,total,road_density,area_sqkm
กระบี่,3.60242619215,1128.0,730.0,6103.0,675.0,573.0,1864.0,573.0,6006.0,4573.0,698.0,1571.0,21243.0,11319.0,6.0,0.0,605.0,10.0,239441,242680,482121,4666.0,2689.2,1553.03,975.98,5218.21,1.108135485241028,4709.0
กรุงเทพมหานคร,18.4495878502,792.0,85.0,204.0,74.0,18.0,160.0,547.0,536.0,564.0,177.0,45.0,1504.0,837.0,6.0,9.0,20.0,187.0,2555426,2916162,5471588,,,,,3785.214,2.4125009560229445,1569.0
กาญจนบุรี,3.4408528417,,,,,,,,,,,,,,,,,,447878,447403,895281,,,,,,,
กาฬสินธุ์,2.73409675619,1401.0,1294.0,6763.0,1198.0,378.0,3557.0,717.0,5528.0,2500.0,924.0,1255.0,21994.0,11766.0,23.0,13.0,218.0,41.0,477905,490160,968065,16747.0,8203.99,1545.75,3069.07,12818.81,1.845229595508853,6947.0
กำแพงเพชร,3.06116259288,1502.0,655.0,2787.0,793.0,212.0,2124.0,651.0,2419.0,1876.0,874.0,653.0,11896.0,9580.0,4.0,3.0,1350.0,15.0,347579,357369,704948,8870.0,5754.35,2075.23,1909.99,9739.56,1.1315859184384802,8607.0
ขอนแก่น,8.95156290813,,,,,,,,,,,,,,,,,,872661,906712,1779373,,,,,,,
จันทบุรี,6.79971824372,,,,,,,,,,,,,,,,,,261834,274602,536436,,,,,,,
ฉะเชิงเทรา,4.96264844626,,,,,,,,,,,,,,,,,,357453,373090,730543,,,,,,,
ชลบุรี,8.69235015748,,,,,,,,,,,,,,,,,,787986,830080,1618066,,,,,,,
ชัยนาท,3.9183110512,1153.0,479.0,1015.0,437.0,528.0,1821.0,2198.0,4332.0,1882.0,357.0,49.0,6864.0,1917.0,1.0,1.0,674.0,19.0,151775,164445,316220,5916.0,3441.87,769.1,1266.25,5477.21,2.2174939271255063,2470.0
ชัยภูมิ,2.46671498806,1634.0,1143.0,10321.0,946.0,605.0,4048.0,871.0,7032.0,1542.0,835.0,212.0,14817.0,2903.0,0.0,0.0,460.0,49.0,549032,564346,1113378,15993.0,8248.34,1975.68,3571.02,13795.04,1.0795930505556426,12778.0
ชุมพร,4.25434239739,1238.0,943.0,2822.0,856.0,337.0,4964.0,2380.0,2978.0,844.0,535.0,1722.0,20331.0,9007.0,4.0,1.0,12.0,54.0,250921,257936,508857,8333.0,4889.04,1474.5,1986.79,8350.32,1.38963554667998,6009.0
เชียงราย,5.1637676493,2554.0,1470.0,5899.0,1288.0,1305.0,4516.0,352.0,9409.0,4252.0,3609.0,1762.0,32700.0,15342.0,12.0,9.0,89.0,151.0,629917,669060,1298977,22802.0,4142.43,1375.55,5242.83,10760.81,0.921460010275732,11678.0
เชียงใหม่,8.73455122256,1657.0,1441.0,18398.0,1291.0,325.0,3875.0,639.0,6874.0,6157.0,2329.0,2822.0,37835.0,29920.0,48.0,8.0,782.0,153.0,865666,931409,1797075,25691.0,5137.09,4049.34,5181.83,14368.25,0.7145894464614313,20107.0
ตรัง,5.42665081541,307.0,1477.0,4682.0,1259.0,118.0,4239.0,376.0,6265.0,1936.0,354.0,1131.0,20128.0,9627.0,8.0,1.0,618.0,164.0,311212,325805,637017,6443.0,1853.25,2741.02,1554.56,6148.82,1.2502684017893453,4918.0
ตราด,4.5782514742,,,,,,,,,,,,,,,,,,112157,114895,227052,,,,,,,
ตาก,4.11990573656,2800.0,1349.0,6234.0,1590.0,750.0,5153.0,1209.0,9280.0,1760.0,572.0,1676.0,21972.0,11451.0,1.0,0.0,1709.0,132.0,349504,342210,691714,6884.0,3283.49,894.44,1983.25,6161.18,0.3755214237825318,16407.0
