province,health_issue,count
กรุงเทพมหานคร,Bedridden,12.0
กรุงเทพมหานคร,Chronic Illness,116.0
กรุงเทพมหานคร,Cognitive Decline in Elderly,4.0
กรุงเทพมหานคร,Dependent on Others for Daily Living,7.0
กรุงเทพมหานคร,Depression,9.0
กรุงเทพมหานคร,Impacted by AIDS,1.0
กรุงเทพมหานคร,Lack of Assistive Devices,2.0
กรุงเทพมหานคร,Living with HIV/AIDS,4.0
กรุงเทพมหานคร,Mental Health Issues,9.0
กรุงเทพมหานคร,No Access to Healthcare Rights,2.0
กรุงเทพมหานคร,No Access to Treatment or Rehabilitation,1.0
กรุงเทพมหานคร,Severe Illness,14.0
กรุงเทพมหานคร,Substance Abuse,1.0
กรุงเทพมหานคร,nan,1401.0
กระบี่,Bedridden,87.0
กระบี่,Chronic Illness,642.0
กระบี่,Cognitive Decline in Elderly,107.0
กระบี่,Dependent on Others for Daily Living,81.0
กระบี่,Depression,7.0
กระบี่,Impacted by AIDS,2.0
กระบี่,Lack of Assistive Devices,25.0
กระบี่,Living with HIV/AIDS,22.0
กระบี่,Mental Health Issues,19.0
กระบี่,No Access to Healthcare Rights,7.0
กระบี่,No Access to Treatment or Rehabilitation,19.0
กระบี่,Severe Illness,24.0
กระบี่,Substance Abuse,11.0
กระบี่,nan,20291.0
กาญจนบุรี,Bedridden,
กาญจนบุรี,Chronic Illness,
กาญจนบุรี,Cognitive Decline in Elderly,
กาญจนบุรี,Dependent on Others for Daily Living,
กาญจนบุรี,Depression,
กาญจนบุรี,Impacted by AIDS,
กาญจนบุรี,Lack of Assistive Devices,
กาญจนบุรี,Living with HIV/AIDS,
กาญจนบุรี,Mental Health Issues,
กาญจนบุรี,No Access to Healthcare Rights,
กาญจนบุรี,No Access to Treatment or Rehabilitation,
กาญจนบุรี,Severe Illness,
กาญจนบุรี,Substance Abuse,
กาญจนบุรี,nan,
กาฬสินธุ์,Bedridden,65.0
กาฬสินธุ์,Chronic Illness,468.0
กาฬสินธุ์,Cognitive Decline in Elderly,238.0
กาฬสินธุ์,Dependent on Others for Daily Living,84.0
กาฬสินธุ์,Depression,14.0
กาฬสินธุ์,Impacted by AIDS,7.0
กาฬสินธุ์,Lack of Assistive Devices,40.0
กาฬสินธุ์,Living with HIV/AIDS,19.0
กาฬสินธุ์,Mental Health Issues,48.0
กาฬสินธุ์,No Access to Healthcare Rights,
กาฬสินธุ์,No Access to Treatment or Rehabilitation,31.0
กาฬสินธุ์,Severe Illness,19.0
กาฬสินธุ์,Substance Abuse,34.0
กาฬสินธุ์,nan,25548.0
กำแพงเพชร,Bedridden,73.0
กำแพงเพชร,Chronic Illness,586.0
กำแพงเพชร,Cognitive Decline in Elderly,75.0
กำแพงเพชร,Dependent on Others for Daily Living,72.0
กำแพงเพชร,Depression,4.0
กำแพงเพชร,Impacted by AIDS,
กำแพงเพชร,Lack of Assistive Devices,26.0
กำแพงเพชร,Living with HIV/AIDS,5.0
กำแพงเพชร,Mental Health Issues,17.0
กำแพงเพชร,No Access to Healthcare Rights,1.0
กำแพงเพชร,No Access to Treatment or Rehabilitation,6.0
กำแพงเพชร,Severe Illness,31.0
กำแพงเพชร,Substance Abuse,2.0
กำแพงเพชร,nan,11611.0
ขอนแก่น,Bedridden,
ขอนแก่น,Chronic Illness,
ขอนแก่น,Cognitive Decline in Elderly,
ขอนแก่น,Dependent on Others for Daily Living,
ขอนแก่น,Depression,
ขอนแก่น,Impacted by AIDS,
ขอนแก่น,Lack of Assistive Devices,
ขอนแก่น,Living with HIV/AIDS,
ขอนแก่น,Mental Health Issues,
ขอนแก่น,No Access to Healthcare Rights,
ขอนแก่น,No Access to Treatment or Rehabilitation,
ขอนแก่น,Severe Illness,
ขอนแก่น,Substance Abuse,
ขอนแก่น,nan,
จันทบุรี,Bedridden,
จันทบุรี,Chronic Illness,11.0
จันทบุรี,Cognitive Decline in Elderly,
จันทบุรี,Dependent on Others for Daily Living,
จันทบุรี,Depression,1.0
จันทบุรี,Impacted by AIDS,
จันทบุรี,Lack of Assistive Devices,
จันทบุรี,Living with HIV/AIDS,
จันทบุรี,Mental Health Issues,1.0
จันทบุรี,No Access to Healthcare Rights,
จันทบุรี,No Access to Treatment or Rehabilitation,
จันทบุรี,Severe Illness,1.0
จันทบุรี,Substance Abuse,
จันทบุรี,nan,251.0
ฉะเชิงเทรา,Bedridden,10.0
ฉะเชิงเทรา,Chronic Illness,143.0
ฉะเชิงเทรา,Cognitive Decline in Elderly,14.0
ฉะเชิงเทรา,Dependent on Others for Daily Living,19.0
ฉะเชิงเทรา,Depression,
ฉะเชิงเทรา,Impacted by AIDS,
ฉะเชิงเทรา,Lack of Assistive Devices,1.0
ฉะเชิงเทรา,Living with HIV/AIDS,
ฉะเชิงเทรา,Mental Health Issues,
ฉะเชิงเทรา,No Access to Healthcare Rights,
ฉะเชิงเทรา,No Access to Treatment or Rehabilitation,3.0
ฉะเชิงเทรา,Severe Illness,29.0
ฉะเชิงเทรา,Substance Abuse,
ฉะเชิงเทรา,nan,8904.0
ชลบุรี,Bedridden,
ชลบุรี,Chronic Illness,15.0
ชลบุรี,Cognitive Decline in Elderly,3.0
ชลบุรี,Dependent on Others for Daily Living,
ชลบุรี,Depression,1.0
ชลบุรี,Impacted by AIDS,
ชลบุรี,Lack of Assistive Devices,1.0
ชลบุรี,Living with HIV/AIDS,
