Year,Category,Value
2004,London,32
2005,London,31
2006,London,32
2007,London,33
2008,London,32.7
2009,London,33.6
2010,London,32.8
2011,London,32.5
2012,London,31.6
2013,London,32.2
2014,London,35.7
2015,London,32.9
2016,London,32.6
2017,London,34.1
2018,London,34.5
2019,London,36.7
2020,London,34.5
2021,London,33.8
2022,London,33.8
2023,London,35.3
2004,England (excluding London),31.2
2005,England (excluding London),31.1
2006,England (excluding London),30.6
2007,England (excluding London),29.7
2008,England (excluding London),30.5
2009,England (excluding London),31.3
2010,England (excluding London),31.7
2011,England (excluding London),31.9
2012,England (excluding London),31.6
2013,England (excluding London),32.4
2014,England (excluding London),31.8
2015,England (excluding London),32.5
2016,England (excluding London),32.3
2017,England (excluding London),33.1
2018,England (excluding London),32.6
2019,England (excluding London),32.1
2020,England (excluding London),31.8
2021,England (excluding London),32.1
2022,England (excluding London),33.4
2023,England (excluding London),33
2004,All First Time Buyers,31.4
2005,All First Time Buyers,31.1
2006,All First Time Buyers,30.8
2007,All First Time Buyers,30.3
2008,All First Time Buyers,30.9
2009,All First Time Buyers,31.7
2010,All First Time Buyers,31.9
2011,All First Time Buyers,32
2012,All First Time Buyers,31.6
2013,All First Time Buyers,32.4
2014,All First Time Buyers,32.8
2015,All First Time Buyers,32.5
2016,All First Time Buyers,32.4
2017,All First Time Buyers,33.2
2018,All First Time Buyers,32.9
2019,All First Time Buyers,32.9
2020,All First Time Buyers,32.2
2021,All First Time Buyers,32.4
2022,All First Time Buyers,33.5
2023,All First Time Buyers,33.5
