year,name_th,district,sex,count,percent,name_en,is_first
2013-01-01,กรุงเทพมหานคร,กรุงเทพมหานคร,male,342548,13.18,Bangkok Metropolis,True
2013-01-01,สมุทรปราการ,จังหวัดสมุทรปราการ,male,63211,10.79,Samut Prakan,True
2013-01-01,นนทบุรี,จังหวัดนนทบุรี,male,72451,13.58,Nonthaburi,True
2013-01-01,ปทุมธานี,จังหวัดปทุมธานี,male,50115,10.16,Pathum Thani,True
2013-01-01,พระนครศรีอยุธยา,จังหวัดพระนครศรีอยุธยา,male,51238,13.48,Phra Nakhon Si Ayutthaya,True
2013-01-01,อ่างทอง,จังหวัดอ่างทอง,male,21038,15.63,Ang Thong,True
2013-01-01,ลพบุรี,จังหวัดลพบุรี,male,50183,13.59,Lop Buri,True
2013-01-01,สิงห์บุรี,จังหวัดสิงห์บุรี,male,16954,16.96,Sing Buri,True
2013-01-01,ชัยนาท,จังหวัดชัยนาท,male,26198,16.51,Chai Nat,True
2013-01-01,สระบุรี,จังหวัดสระบุรี,male,36334,11.95,Saraburi,True
2013-01-01,ชลบุรี,จังหวัดชลบุรี,male,66139,9.96,Chon Buri,True
2013-01-01,ระยอง,จังหวัดระยอง,male,31872,9.95,Rayong,True
2013-01-01,จันทบุรี,จังหวัดจันทบุรี,male,34382,13.5,Chanthaburi,True
2013-01-01,ตราด,จังหวัดตราด,male,14644,13.69,Trat,True
2013-01-01,ฉะเชิงเทรา,จังหวัดฉะเชิงเทรา,male,43035,12.87,Chachoengsao,True
2013-01-01,ปราจีนบุรี,จังหวัดปราจีนบุรี,male,28272,12.21,Prachin Buri,True
2013-01-01,นครนายก,จังหวัดนครนายก,male,17832,14.22,Nakhon Nayok,True
2013-01-01,สระแก้ว,จังหวัดสระแก้ว,male,29069,10.75,Sa Kaeo,True
2013-01-01,นครราชสีมา,จังหวัดนครราชสีมา,male,162082,12.72,Nakhon Ratchasima,True
2013-01-01,บุรีรัมย์,จังหวัดบุรีรัมย์,male,91280,11.79,Buri Ram,True
2013-01-01,สุรินทร์,จังหวัดสุรินทร์,male,82065,12.05,Surin,True
2013-01-01,ศรีสะเกษ,จังหวัดศรีสะเกษ,male,83358,11.55,Si Sa Ket,True
2013-01-01,อุบลราชธานี,จังหวัดอุบลราชธานี,male,99907,11,Ubon Ratchathani,True
2013-01-01,ยโสธร,จังหวัดยโสธร,male,32966,12.25,Yasothon,True
2013-01-01,ชัยภูมิ,จังหวัดชัยภูมิ,male,73745,13.24,Chaiyaphum,True
2013-01-01,อำนาจเจริญ,จังหวัดอำนาจเจริญ,male,21175,11.4,Amnat Charoen,True
2013-01-01,บึงกาฬ,จังหวัดบึงกาฬ,male,20994,10.09,buogkan,True
2013-01-01,หนองบัวลำภู,จังหวัดหนองบัวลำภู,male,26288,10.43,Nong Bua Lam Phu,True
2013-01-01,ขอนแก่น,จังหวัดขอนแก่น,male,111665,12.78,Khon Kaen,True
2013-01-01,อุดรธานี,จังหวัดอุดรธานี,male,80092,10.47,Udon Thani,True
2013-01-01,เลย,จังหวัดเลย,male,41548,13.19,Loei,True
2013-01-01,หนองคาย,จังหวัดหนองคาย,male,28310,11.21,Nong Khai,True
2013-01-01,มหาสารคาม,จังหวัดมหาสารคาม,male,57953,12.43,Maha Sarakham,True
2013-01-01,ร้อยเอ็ด,จังหวัดร้อยเอ็ด,male,79384,12.25,Roi Et,True
2013-01-01,กาฬสินธุ์,จังหวัดกาฬสินธุ์,male,55347,11.39,Kalasin,True
2013-01-01,สกลนคร,จังหวัดสกลนคร,male,55711,9.92,Sakon Nakhon,True
2013-01-01,นครพนม,จังหวัดนครพนม,male,36812,10.45,Nakhon Phanom,True
2013-01-01,มุกดาหาร,จังหวัดมุกดาหาร,male,18239,10.71,Mukdahan,True
2013-01-01,เชียงใหม่,จังหวัดเชียงใหม่,male,112225,14.75,Chiang Mai,True
