year,id,price
2010,London,7.5900002
2010,Non-London,7.5599999
2010,Non-London,7.5300002
2010,Non-London,7.25
2010,Non-London,7.25
2010,Non-London,7.54
2010,Non-London,7.6700001
2010,Non-London,7.5700002
2010,Non-London,7.2399998
2010,Non-London,7.25
2010,Non-London,7.44500015
2010,Non-London,7.25
2011,London,7.92499995
2011,Non-London,7.8899999
2011,Non-London,7.6900001
2011,Non-London,7.6500001
2011,Non-London,7.6900001
2011,Non-London,7.6900001
2011,Non-London,7.8899999
2011,Non-London,7.79
2011,Non-London,7.5699999
2011,Non-London,7.9899998
2011,Non-London,7.8899999
2011,Non-London,7.5599999
2012,London,8.79
2012,Non-London,8.5900002
2012,Non-London,8.9899998
2012,Non-London,8.9899998
2012,Non-London,8.9899998
2012,Non-London,8.9899998
2012,Non-London,8.79
2012,Non-London,8.9899998
2012,Non-London,7.9899998
2012,Non-London,8.9899998
2012,Non-London,8.9899998
2012,Non-London,7.9899998
2013,London,8.9899998
2013,Non-London,8.6500001
2013,Non-London,8.9899998
2013,Non-London,8.9899998
2013,Non-London,8.9899998
2013,Non-London,8.9899998
2013,Non-London,8.9899998
2013,Non-London,8.9899998
2013,Non-London,7.9899998
2013,Non-London,8.9899998
2013,Non-London,9.0500002
2013,Non-London,7.9899998
2014,London,9.29
2014,Non-London,8.9899998
2014,Non-London,9.9899998
2014,Non-London,9.29
2014,Non-London,9.8900003
2014,Non-London,9.9899998
2014,Non-London,9.9899998
2014,Non-London,9.79
2014,Non-London,8.75
2014,Non-London,9.9899998
2014,Non-London,9.9899998
2014,Non-London,9.29
2015,London,9.21
2015,Non-London,8.9949999
2015,Non-London,9.9899998
2015,Non-London,9.21
2015,Non-London,9.9700003
2015,Non-London,9.2799997
2015,Non-London,9.9899998
2015,Non-London,9.0999999
2015,Non-London,9.21
2015,Non-London,9.21
2015,Non-London,9.9899998
2015,Non-London,8.5
2016,London,8.6599998
2016,Non-London,9.0
2016,Non-London,9.9899998
2016,Non-London,9.9899998
2016,Non-London,9.4899998
2016,Non-London,9.9899998
2016,Non-London,9.9899998
2016,Non-London,9.9700003
2016,Non-London,9.0
2016,Non-London,9.0
2016,Non-London,9.9899998
2016,Non-London,8.5
2017,London,9.0
2017,Non-London,9.4899998
2017,Non-London,9.9899998
2017,Non-London,9.9899998
2017,Non-London,9.4499998
2017,Non-London,9.9899998
2017,Non-London,9.9899998
2017,Non-London,9.4899998
2017,Non-London,9.0
2017,Non-London,9.0
2017,Non-London,9.4899998
2017,Non-London,9.0
2018,London,9.0
2018,Non-London,9.9899998
2018,Non-London,9.9899998
2018,Non-London,10.0
2018,Non-London,9.9899998
2018,Non-London,10.0
2018,Non-London,9.9899998
2018,Non-London,9.25
2018,Non-London,9.9899998
2018,Non-London,10.0
2018,Non-London,10.0
2018,Non-London,9.0
2019,London,9.4899998
2019,Non-London,10.0
2019,Non-London,10.0
2019,Non-London,10.0
2019,Non-London,10.0
2019,Non-London,10.0
2019,Non-London,10.0
2019,Non-London,10.0
2019,Non-London,10.0
2019,Non-London,10.0
2019,Non-London,10.0
2019,Non-London,10.0
2020,London,9.4899998
2020,Non-London,9.4899998
2020,Non-London,10.5
2020,Non-London,10.0
2020,Non-London,10.75
2020,Non-London,10.75
2020,Non-London,10.5
2020,Non-London,10.0
2020,Non-London,10.25
2020,Non-London,10.75
2020,Non-London,10.5
2020,Non-London,10.0
2021,London,9.0
2021,Non-London,9.4499998
2021,Non-London,11.0
2021,Non-London,9.9899998
2021,Non-London,11.0
2021,Non-London,11.0
2021,Non-London,11.0
2021,Non-London,9.9899998
2021,Non-London,11.0
2021,Non-London,10.75
2021,Non-London,10.75
2021,Non-London,10.75
2022,London,10.0
2022,Non-London,10.25
2022,Non-London,11.75
2022,Non-London,10.0
2022,Non-London,11.0
2022,Non-London,12.2
2022,Non-London,11.5
2022,Non-London,11.35
2022,Non-London,12.2
2022,Non-London,10.8
2022,Non-London,11.5
2022,Non-London,11.0
2023,London,11.5
2023,Non-London,11.5
2023,Non-London,13.5
2023,Non-London,10.5
2023,Non-London,11.79
2023,Non-London,13.5
2023,Non-London,13.5
2023,Non-London,12.25
2023,Non-London,13.5
2023,Non-London,13.375
2023,Non-London,13.5
2023,Non-London,13.5
2024,London,11.0
2024,Non-London,10.75
2024,Non-London,13.5
2024,Non-London,10.5
2024,Non-London,12.25
2024,Non-London,12.0
2024,Non-London,13.5
2024,Non-London,13.5
2024,Non-London,13.5
2024,Non-London,13.5
2024,Non-London,13.5
2024,Non-London,13.5
